0,1,2,3,4,5,6
Key Financial Ratios of Larsen & Toubro (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
Per Share Ratios,,,,,,
Basic EPS (Rs.),72.62,59.44,74.32,49.22,73.34,
Diluted EPS (Rs.),72.62,59.44,74.32,49.22,73.34,
Cash EPS (Rs.),79.50,64.66,81.55,54.87,81.14,
Book Value [ExclRevalReserve]/Share (Rs.),303.28,212.31,325.95,202.67,335.57,
Book Value [InclRevalReserve]/Share (Rs.),303.66,212.73,326.84,203.65,337.71,
Dividend / Share(Rs.),12.50,10.50,17.00,13.00,22.00,
Revenue from Operations/Share (Rs.),612.26,578.05,853.30,622.96,1075.47,
PBDIT/Share (Rs.),112.06,77.53,118.39,79.59,112.34,
PBIT/Share (Rs.),105.69,72.67,111.69,73.94,104.55,
PBT/Share (Rs.),97.30,66.69,107.49,70.66,95.05,
Net Profit/Share (Rs.),72.62,59.44,74.32,49.22,73.34,
Profitability Ratios,,,,,,
PBDIT Margin (%),18.30,13.41,13.87,12.77,10.44,
PBIT Margin (%),17.26,12.57,13.08,11.86,9.72,
PBT Margin (%),15.89,11.53,12.59,11.34,8.83,
Net Profit Margin (%),11.86,10.28,8.70,7.90,6.81,
Return on Networth / Equity (%),23.94,27.99,22.79,24.28,21.85,
Return on Capital Employed (%),17.65,18.96,17.42,18.87,16.77,
Return on Assets (%),9.35,9.33,8.02,8.01,7.62,
Total Debt/Equity (X),0.37,0.53,0.38,0.36,0.32,
Asset Turnover Ratio (%),78.87,90.78,92.16,101.47,111.81,
Liquidity Ratios,,,,,,
Current Ratio (X),1.20,1.24,1.12,1.19,1.32,
Quick Ratio (X),1.13,0.93,0.82,0.89,1.02,
Inventory Turnover Ratio (X),26.05,5.83,5.79,5.88,6.69,
Dividend Payout Ratio (NP) (%),17.21,17.66,22.79,26.41,29.99,
Dividend Payout Ratio (CP) (%),15.72,16.23,20.77,23.69,27.11,
Earnings Retention Ratio (%),82.79,82.34,77.21,73.59,70.01,
Cash Earnings Retention Ratio (%),84.28,83.77,79.23,76.31,72.89,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),103307.76,45177.85,91049.56,46845.74,34294.29,
EV/Net Operating Revenue (X),2.80,1.33,3.65,2.65,2.32,
EV/EBITDA (X),15.31,9.95,26.31,20.78,22.22,
MarketCap/Net Operating Revenue (X),2.66,1.16,3.54,2.60,2.26,
Retention Ratios (%),82.78,82.33,77.20,73.58,70.00,
Price/BV (X),5.36,3.17,9.28,7.99,7.25,
Price/Net Operating Revenue,2.66,1.16,3.54,2.60,2.26,
Earnings Yield,0.04,0.09,0.02,0.03,0.03,
