0,1,2,3
Key Financial Ratios of Larsen & Toubro (in Rs. Cr.),Mar 05,Mar 04,
Per Share Ratios,,,
Basic EPS (Rs.),75.74,215.00,
Diluted EPS (Rs.),75.74,215.00,
Cash EPS (Rs.),82.48,248.98,
Book Value [ExclRevalReserve]/Share (Rs.),256.98,1102.26,
Book Value [InclRevalReserve]/Share (Rs.),259.36,1115.37,
Dividend / Share(Rs.),27.50,80.00,
Revenue from Operations/Share (Rs.),1015.37,3876.74,
PBDIT/Share (Rs.),110.13,362.97,
PBIT/Share (Rs.),103.39,329.00,
PBT/Share (Rs.),96.92,291.98,
Net Profit/Share (Rs.),75.74,215.00,
Profitability Ratios,,,
PBDIT Margin (%),10.84,9.36,
PBIT Margin (%),10.18,8.48,
PBT Margin (%),9.54,7.53,
Net Profit Margin (%),7.45,5.54,
Return on Networth / Equity (%),29.47,19.50,
Return on Capital Employed (%),20.16,13.88,
Return on Assets (%),8.90,5.97,
Total Debt/Equity (X),0.56,0.48,
Asset Turnover Ratio (%),119.40,107.74,
Liquidity Ratios,,,
Current Ratio (X),1.43,1.33,
Quick Ratio (X),1.06,0.98,
Inventory Turnover Ratio (X),5.71,5.32,
Dividend Payout Ratio (NP) (%),36.30,37.20,
Dividend Payout Ratio (CP) (%),33.34,32.13,
Earnings Retention Ratio (%),63.70,62.80,
Cash Earnings Retention Ratio (%),66.66,67.87,
Valuation Ratios,,,
Enterprise Value (Cr.),13958.04,2378.06,
EV/Net Operating Revenue (X),1.06,0.25,
EV/EBITDA (X),9.76,2.63,
MarketCap/Net Operating Revenue (X),0.98,0.15,
Retention Ratios (%),63.69,62.79,
Price/BV (X),3.87,0.52,
Price/Net Operating Revenue,0.98,0.15,
Earnings Yield,0.08,0.37,
