0,1,2,3,4,5,6
Cash Flow of Maruti Suzuki India (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,7064.80,10465.60,11003.40,9960.30,7443.70,
Net CashFlow From Operating Activities,3405.10,6593.20,11785.00,10279.30,8484.50,
Net Cash Used In Investing Activities,-463.90,-3538.30,-8282.10,-9177.90,-7227.40,
Net Cash Used From Financing Activities,-3100.00,-2947.80,-3446.00,-1129.30,-1236.40,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,2.50,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-158.80,107.10,56.90,-25.40,20.70,
Cash And Cash Equivalents Begin of Year,177.00,69.90,13.00,38.40,17.70,
Cash And Cash Equivalents End Of Year,18.20,177.00,69.90,13.00,38.40,
