0,1,2,3,4,5,6
Profit & Loss account of Maruti Suzuki India (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],71690.40,83026.50,80336.50,76140.80,63957.70,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,2231.70,9231.40,7516.50,
Revenue From Operations [Net],71690.40,83026.50,78104.80,66909.40,56441.20,
Total Operating Revenues,75610.60,86020.30,79762.70,68034.80,57538.10,
Other Income,3420.80,2561.00,2045.50,2300.10,1461.00,
Total Revenue,79031.40,88581.30,81808.20,70334.90,58999.10,
EXPENSES,,,,,,
Cost Of Materials Consumed,34636.60,45023.90,44941.30,42629.60,35483.90,
Purchase Of Stock-In Trade,18758.10,15019.50,9993.00,4482.10,3206.60,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-238.10,210.80,40.70,-380.10,6.90,
Employee Benefit Expenses,3383.90,3254.90,2833.80,2331.00,1978.80,
Finance Costs,132.90,75.80,345.70,89.40,81.50,
Depreciation And Amortisation Expenses,3525.70,3018.90,2757.90,2602.10,2820.20,
Other Expenses,11889.20,11634.00,9991.50,8724.10,8037.70,
Total Expenses,71966.60,78115.70,70804.80,60374.60,51555.40,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",7064.80,10465.60,11003.40,9960.30,7443.70,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,7064.80,10465.60,11003.40,9960.30,7443.70,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1374.80,2932.30,3349.50,2335.60,2041.40,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,39.40,32.70,-67.90,274.50,38.00,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,1414.20,2965.00,3281.60,2610.10,2079.40,
Profit/Loss After Tax And Before ExtraOrdinary Items,5650.60,7500.60,7721.80,7350.20,5364.30,
Profit/Loss From Continuing Operations,5650.60,7500.60,7721.80,7350.20,5364.30,
Profit/Loss For The Period,5650.60,7500.60,7721.80,7350.20,5364.30,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),187.06,248.30,255.62,243.32,177.58,
Diluted EPS (Rs.),187.06,248.30,255.62,242.91,177.58,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,2019.30,2948.90,2996.50,3322.10,2615.80,
Indigenous Raw Materials,32617.30,42075.00,41944.80,39307.50,32868.10,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,60.70,76.10,69.60,67.20,58.50,
Indigenous Stores And Spares,266.40,428.50,435.60,425.60,400.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,2416.60,2416.60,2265.60,1057.30,755.20,
Tax On Dividend,496.80,496.80,461.20,215.20,153.80,
Equity Dividend Rate (%),1200.00,1600.00,1600.00,1500.00,700.00,
