0,1,2,3,4,5,6
Profit & Loss account of Maruti Suzuki India (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],32174.10,23381.50,21200.40,17358.40,14898.80,
Less: Excise/Sevice Tax/Other Levies,2856.40,2652.10,3133.60,2552.00,2700.90,
Revenue From Operations [Net],29317.70,20729.40,18066.80,14806.40,12197.90,
Total Operating Revenues,29317.70,20729.40,18066.80,14806.40,12197.90,
Other Income,748.70,564.60,571.40,390.20,216.10,
Total Revenue,30066.40,21294.00,18638.20,15196.60,12414.00,
EXPENSES,,,,,,
Cost Of Materials Consumed,21947.90,15451.20,13328.50,10344.50,9016.20,
Purchase Of Stock-In Trade,905.00,725.60,777.10,615.90,464.40,
Operating And Direct Expenses,1061.60,716.10,523.30,392.40,302.40,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-200.90,356.60,-336.30,200.70,-199.70,
Employee Benefit Expenses,545.60,471.10,356.20,288.40,228.70,
Finance Costs,33.50,51.00,59.60,37.60,20.40,
Depreciation And Amortisation Expenses,825.00,706.50,568.20,271.40,285.40,
Other Expenses,1407.30,1178.00,944.10,811.80,551.60,
Total Expenses,26525.00,19656.10,16220.70,12962.70,10669.40,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",3541.40,1637.90,2417.50,2233.90,1744.60,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,3541.40,1637.90,2417.50,2233.90,1744.60,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1123.00,459.20,750.90,608.90,587.30,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,-28.10,-11.80,2.60,89.70,-32.10,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,1094.90,457.10,763.30,705.30,560.90,
Profit/Loss After Tax And Before ExtraOrdinary Items,2446.50,1180.80,1654.20,1528.60,1183.70,
Profit/Loss From Continuing Operations,2497.60,1218.70,1730.80,1561.60,1189.10,
Profit/Loss For The Period,2497.60,1218.70,1730.80,1561.60,1189.10,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),86.42,42.17,59.89,54.03,41.15,
Diluted EPS (Rs.),86.42,42.17,59.89,54.03,41.15,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,2770.80,1762.60,1413.80,1280.30,1664.70,
Indigenous Raw Materials,18717.30,13297.20,11620.40,8857.10,7211.90,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,17.90,17.40,24.60,13.30,5.80,
Indigenous Stores And Spares,41.50,33.20,35.10,23.30,10.90,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,173.30,101.10,144.50,130.00,101.10,
Tax On Dividend,28.80,17.20,24.80,21.90,14.20,
Equity Dividend Rate (%),120.00,70.00,100.00,90.00,70.00,
