0,1,2,3,4,5,6
Quarterly Results of Maruti Suzuki India (in Rs. Cr.),Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,
Net Sales/Income from operations,14654.50,14964.70,14784.40,15438.50,13078.30,
Other Operating Income,272.80,279.10,228.80,261.20,298.60,
Total Income From Operations,14927.30,15243.80,15013.20,15699.70,13376.90,
EXPENDITURE,,,,,,
Consumption of Raw Materials,9042.00,9408.70,8614.30,9260.10,8151.00,
Purchase of Traded Goods,880.30,866.10,792.00,834.30,714.30,
Increase/Decrease in Stocks,203.10,-206.10,886.90,-822.70,148.70,
Power & Fuel,--,--,--,--,--,
Employees Cost,579.00,597.80,502.10,411.20,467.70,
depreciat,638.90,759.90,722.10,669.40,671.60,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,2007.20,2248.00,2072.70,3771.40,1727.90,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1576.80,1569.40,1423.10,1576.00,1495.70,
Other Income,483.30,538.40,242.50,473.60,206.50,
"P/L Before Int., Excpt. Items & Tax",2060.10,2107.80,1665.60,2049.60,1702.20,
Interest,18.10,20.30,24.40,17.80,19.00,
P/L Before Exceptional Items & Tax,2042.00,2087.50,1641.20,2031.80,1683.20,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,2042.00,2087.50,1641.20,2031.80,1683.20,
Tax,555.80,611.30,458.20,534.80,475.10,
P/L After Tax from Ordinary Activities,1486.20,1476.20,1183.00,1497.00,1208.10,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1486.20,1476.20,1183.00,1497.00,1208.10,
Equity Share Capital,151.00,151.00,151.00,151.00,151.00,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,49.20,48.87,39.16,49.56,39.99,
Diluted EPS,49.20,48.87,39.16,49.56,39.99,
EPS After Extra Ordinary,,,,,,
Basic EPS.,49.20,48.87,39.16,49.56,39.99,
Diluted EPS.,49.20,48.87,39.16,49.56,39.99,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,13.23,
Share Holding (%),--,--,--,--,43.79,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,16.98,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,100.00,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,56.21,
