0,1,2,3,4,5,6
Key Financial Ratios of Maruti Suzuki India (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
Per Share Ratios,,,,,,
Basic EPS (Rs.),86.42,42.17,59.89,54.03,41.15,
Diluted EPS (Rs.),86.42,42.17,59.89,54.03,41.15,
Cash EPS (Rs.),114.97,66.62,79.55,63.43,51.02,
Book Value [ExclRevalReserve]/Share (Rs.),409.52,323.35,291.19,237.16,188.67,
Book Value [InclRevalReserve]/Share (Rs.),409.52,323.35,291.19,237.16,188.67,
Dividend / Share(Rs.),6.00,3.50,5.00,4.50,3.50,
Revenue from Operations/Share (Rs.),1014.45,717.28,625.15,512.33,422.07,
PBDIT/Share (Rs.),152.25,82.89,105.37,87.99,70.95,
PBIT/Share (Rs.),123.70,58.44,85.71,78.60,61.07,
PBT/Share (Rs.),122.54,56.67,83.65,77.30,60.37,
Net Profit/Share (Rs.),86.42,42.17,59.89,54.03,41.15,
Profitability Ratios,,,,,,
PBDIT Margin (%),15.00,11.55,16.85,17.17,16.80,
PBIT Margin (%),12.19,8.14,13.71,15.34,14.46,
PBT Margin (%),12.07,7.90,13.38,15.08,14.30,
Net Profit Margin (%),8.51,5.87,9.58,10.54,9.74,
Return on Networth / Equity (%),21.10,13.04,20.56,22.78,21.80,
Return on Capital Employed (%),20.01,11.93,18.84,20.17,20.78,
Return on Assets (%),15.18,8.91,13.95,15.21,15.42,
Total Debt/Equity (X),0.07,0.07,0.11,0.09,0.01,
Asset Turnover Ratio (%),178.27,151.58,145.65,144.25,158.22,
Liquidity Ratios,,,,,,
Current Ratio (X),0.95,1.59,0.96,1.52,1.89,
Quick Ratio (X),0.65,1.32,0.64,1.24,1.44,
Inventory Turnover Ratio (X),24.25,22.97,17.41,20.76,13.84,
Dividend Payout Ratio (NP) (%),6.93,8.29,8.34,8.32,8.50,
Dividend Payout Ratio (CP) (%),5.21,5.25,6.28,7.09,6.85,
Earnings Retention Ratio (%),93.07,91.71,91.66,91.68,91.50,
Cash Earnings Retention Ratio (%),94.79,94.75,93.72,92.91,93.15,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),41649.94,21160.29,24550.20,22897.33,23938.82,
EV/Net Operating Revenue (X),1.42,1.02,1.36,1.55,1.96,
EV/EBITDA (X),9.47,8.83,8.06,9.00,11.68,
MarketCap/Net Operating Revenue (X),1.40,1.08,1.33,1.60,2.07,
Retention Ratios (%),93.06,91.70,91.65,91.67,91.49,
Price/BV (X),3.46,2.40,2.85,3.46,4.63,
Price/Net Operating Revenue,1.40,1.08,1.33,1.60,2.07,
Earnings Yield,0.06,0.05,0.07,0.07,0.05,
