0,1,2,3
Key Financial Ratios of Maruti Suzuki India (in Rs. Cr.),Mar 05,Mar 04,
Per Share Ratios,,,
Basic EPS (Rs.),29.54,18.76,
Diluted EPS (Rs.),29.54,18.76,
Cash EPS (Rs.),45.91,38.39,
Book Value [ExclRevalReserve]/Share (Rs.),151.52,124.26,
Book Value [InclRevalReserve]/Share (Rs.),151.52,124.26,
Dividend / Share(Rs.),2.00,1.50,
Revenue from Operations/Share (Rs.),382.22,326.97,
PBDIT/Share (Rs.),60.26,42.40,
PBIT/Share (Rs.),44.45,25.28,
PBT/Share (Rs.),43.21,23.78,
Net Profit/Share (Rs.),29.54,18.76,
Profitability Ratios,,,
PBDIT Margin (%),15.76,12.96,
PBIT Margin (%),11.63,7.73,
PBT Margin (%),11.30,7.27,
Net Profit Margin (%),7.72,5.73,
Return on Networth / Equity (%),19.49,15.09,
Return on Capital Employed (%),17.37,12.90,
Return on Assets (%),13.07,9.43,
Total Debt/Equity (X),0.07,0.09,
Asset Turnover Ratio (%),169.16,164.51,
Liquidity Ratios,,,
Current Ratio (X),1.84,1.31,
Quick Ratio (X),1.43,1.02,
Inventory Turnover Ratio (X),16.57,21.49,
Dividend Payout Ratio (NP) (%),6.77,7.98,
Dividend Payout Ratio (CP) (%),4.35,3.90,
Earnings Retention Ratio (%),93.23,92.02,
Cash Earnings Retention Ratio (%),95.65,96.10,
Valuation Ratios,,,
Enterprise Value (Cr.),11439.32,14433.56,
EV/Net Operating Revenue (X),1.04,1.53,
EV/EBITDA (X),6.57,11.78,
MarketCap/Net Operating Revenue (X),1.10,1.52,
Retention Ratios (%),93.22,92.01,
Price/BV (X),2.78,4.00,
Price/Net Operating Revenue,1.10,1.52,
Earnings Yield,0.07,0.04,
