0,1,2,3,4,5,6
Cash Flow of Sun Pharmaceutical Industries (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,949.16,1295.40,1052.20,640.54,488.68,
Net CashFlow From Operating Activities,658.12,1262.49,626.13,444.25,310.83,
Net Cash Used In Investing Activities,-170.88,-660.37,-743.49,-112.07,160.76,
Net Cash Used From Financing Activities,-327.34,-325.67,-6.06,-360.48,-130.80,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,159.90,276.45,-123.42,-28.30,340.79,
Cash And Cash Equivalents Begin of Year,48.00,977.31,1208.48,1230.98,890.03,
Cash And Cash Equivalents End Of Year,207.90,1253.76,1085.06,1202.68,1230.82,
