0,1,2,3
Cash Flow of Sun Pharmaceutical Industries (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,323.48,294.01,
Net CashFlow From Operating Activities,219.81,329.95,
Net Cash Used In Investing Activities,-863.44,-531.70,
Net Cash Used From Financing Activities,1457.89,198.81,
Foreign Exchange Gains / Losses,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,814.26,-2.95,
Cash And Cash Equivalents Begin of Year,75.77,78.70,
Cash And Cash Equivalents End Of Year,890.03,75.75,
