0,1,2,3,4,5,6
Profit & Loss account of Sun Pharmaceutical Industries (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],7882.47,2823.77,2329.75,2463.10,1985.78,
Less: Excise/Sevice Tax/Other Levies,151.55,99.46,86.35,64.93,52.66,
Revenue From Operations [Net],7730.92,2724.31,2243.40,2398.17,1933.12,
Total Operating Revenues,8017.19,2828.79,2432.14,4015.56,3107.57,
Other Income,211.58,177.76,236.61,343.28,194.72,
Total Revenue,8228.77,3006.55,2668.75,4358.84,3302.29,
EXPENSES,,,,,,
Cost Of Materials Consumed,2261.11,894.62,705.79,951.71,718.26,
Purchase Of Stock-In Trade,934.22,185.04,200.96,187.48,176.68,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",318.10,-14.53,-10.53,-81.73,1.99,
Employee Benefit Expenses,1486.68,279.63,234.87,316.56,261.09,
Finance Costs,551.25,18.38,0.44,0.43,0.59,
Depreciation And Amortisation Expenses,660.68,101.94,85.82,75.72,64.23,
Other Expenses,3575.70,1466.96,788.37,882.92,625.47,
Total Expenses,9787.74,2932.04,2005.72,2333.09,1848.31,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-1558.97,74.51,663.03,2025.75,1453.98,
Exceptional Items,0.00,-2875.60,0.00,-299.92,0.00,
Profit/Loss Before Tax,-1558.97,-2801.09,663.03,1725.83,1453.98,
Tax Expenses-Continued Operations,,,,,,
Current Tax,108.00,0.00,114.98,22.94,57.00,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,-192.84,27.43,31.50,5.40,13.18,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,-84.84,27.43,146.48,28.34,70.18,
Profit/Loss After Tax And Before ExtraOrdinary Items,-1474.13,-2828.52,516.55,1697.49,1383.80,
Profit/Loss From Continuing Operations,-1474.13,-2828.52,516.55,1697.49,1383.80,
Profit/Loss For The Period,-1474.13,-2828.52,516.55,1697.49,1383.80,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),-6.00,-13.70,5.00,16.40,13.40,
Diluted EPS (Rs.),-6.00,-13.70,5.00,16.40,13.40,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,1046.66,419.50,384.45,380.02,297.65,
Indigenous Raw Materials,1214.45,475.12,321.34,571.69,420.61,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,77.99,52.13,52.60,35.94,27.69,
Indigenous Stores And Spares,267.50,132.80,118.52,82.66,70.64,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,721.95,310.67,517.79,440.12,362.45,
Tax On Dividend,146.97,52.80,88.00,71.40,58.80,
Equity Dividend Rate (%),300.00,150.00,500.00,425.00,350.00,
