0,1,2,3
Profit & Loss account of Sun Pharmaceutical Industries (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
INCOME,,,
Revenue From Operations [Gross],1056.01,897.59,
Less: Excise/Sevice Tax/Other Levies,48.73,53.53,
Revenue From Operations [Net],1007.28,844.06,
Total Operating Revenues,1007.28,844.06,
Other Income,232.87,115.29,
Total Revenue,1240.15,959.35,
EXPENSES,,,
Cost Of Materials Consumed,248.73,230.80,
Purchase Of Stock-In Trade,329.50,184.93,
Operating And Direct Expenses,24.97,19.61,
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.45,-16.89,
Employee Benefit Expenses,82.78,68.55,
Finance Costs,0.00,0.00,
Depreciation And Amortisation Expenses,32.83,23.55,
Other Expenses,200.82,155.09,
Total Expenses,922.53,665.64,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",317.62,293.71,
Exceptional Items,0.00,0.00,
Profit/Loss Before Tax,317.62,293.71,
Tax Expenses-Continued Operations,,,
Current Tax,6.53,8.53,
Less: MAT Credit Entitlement,0.00,0.00,
Deferred Tax,11.24,26.12,
Tax For Earlier Years,0.00,0.00,
Total Tax Expenses,17.77,34.65,
Profit/Loss After Tax And Before ExtraOrdinary Items,299.85,259.06,
Profit/Loss From Continuing Operations,312.30,246.41,
Profit/Loss For The Period,312.30,246.41,
OTHER ADDITIONAL INFORMATION,,,
EARNINGS PER SHARE,,,
Basic EPS (Rs.),16.83,26.56,
Diluted EPS (Rs.),16.83,26.56,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,
Imported Raw Materials,72.65,69.76,
Indigenous Raw Materials,153.79,142.57,
"STORES, SPARES AND LOOSE TOOLS",,,
Imported Stores And Spares,0.09,0.05,
Indigenous Stores And Spares,8.41,4.55,
DIVIDEND AND DIVIDEND PERCENTAGE,,,
Equity Share Dividend,69.57,60.29,
Tax On Dividend,9.91,7.88,
Equity Dividend Rate (%),75.00,65.00,
