0,1,2,3,4,5,6
Quarterly Results of Sun Pharmaceutical Industries (in Rs. Cr.),Dec '03,Sep '03,Jun '03,Mar '03,Dec '02,
Net Sales/Income from operations,238.27,245.16,207.36,234.11,217.90,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,238.27,245.16,207.36,234.11,217.90,
EXPENDITURE,,,,,,
Consumption of Raw Materials,113.40,127.26,72.80,79.01,88.88,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,-3.83,-7.02,4.39,4.91,-9.68,
Power & Fuel,--,--,--,--,--,
Employees Cost,13.90,14.93,16.40,10.71,10.12,
depreciat,5.97,5.43,5.27,3.84,5.38,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,9.86,13.95,--,9.01,6.83,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,56.29,54.45,58.21,54.28,58.28,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",42.68,36.16,50.29,72.35,58.09,
Other Income,32.23,35.62,9.02,7.01,3.20,
"P/L Before Int., Excpt. Items & Tax",74.91,71.78,59.31,79.36,61.29,
Interest,--,--,--,--,--,
P/L Before Exceptional Items & Tax,74.91,71.78,59.31,79.36,61.29,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,74.91,71.78,59.31,79.36,61.29,
Tax,4.45,5.73,4.62,5.19,5.43,
P/L After Tax from Ordinary Activities,70.46,66.05,54.69,74.17,55.86,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,70.46,66.05,54.69,74.17,55.86,
Equity Share Capital,46.38,46.38,46.38,46.52,46.79,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,1.52,1.42,5.90,7.97,11.94,
Diluted EPS,--,--,--,--,--,
EPS After Extra Ordinary,,,,,,
Basic EPS.,1.52,1.42,5.90,7.97,11.94,
Diluted EPS.,--,--,--,--,--,
Public Share Holding,,,,,,
No Of Shares (Crores),--,2.59,9.29,2.62,--,
Share Holding (%),--,27.90,5.90,28.12,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
