0,1,2,3
Quarterly Results of Sun Pharmaceutical Industries (in Rs. Cr.),Sep '97,Jun '97,
Net Sales/Income from operations,82.32,56.31,
Other Operating Income,--,--,
Total Income From Operations,82.32,56.31,
EXPENDITURE,,,
Consumption of Raw Materials,--,--,
Purchase of Traded Goods,--,--,
Increase/Decrease in Stocks,--,--,
Power & Fuel,--,--,
Employees Cost,--,--,
depreciat,1.35,1.20,
Excise Duty,--,--,
Admin. And Selling Expenses,--,--,
R & D Expenses,--,--,
Provisions And Contingencies,--,--,
Exp. Capitalised,--,--,
Other Expenses,68.85,45.81,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",12.12,9.30,
Other Income,5.65,--,
"P/L Before Int., Excpt. Items & Tax",17.77,9.30,
Interest,--,--,
P/L Before Exceptional Items & Tax,17.77,9.30,
Exceptional Items,--,--,
P/L Before Tax,17.77,9.30,
Tax,0.61,0.30,
P/L After Tax from Ordinary Activities,17.16,9.00,
Prior Year Adjustments,--,--,
Extra Ordinary Items,--,--,
Net Profit/(Loss) For the Period,17.16,9.00,
Equity Share Capital,15.21,15.21,
Reserves Excluding Revaluation Reserves,--,--,
Equity Dividend Rate (%),--,--,
EPS Before Extra Ordinary,,,
Basic EPS,11.28,5.92,
Diluted EPS,--,--,
EPS After Extra Ordinary,,,
Basic EPS.,11.28,5.92,
Diluted EPS.,--,--,
Public Share Holding,,,
No Of Shares (Crores),--,--,
Share Holding (%),--,--,
Promoters and Promoter Group Shareholding,,,
a) Pledged/Encumbered,,,
- Number of shares (Crores),--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,
b) Non-encumbered,,,
- Number of shares (Crores).,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,
