0,1,2,3,4,5,6
Key Financial Ratios of Sun Pharmaceutical Industries (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
Per Share Ratios,,,,,,
Basic EPS (Rs.),17.80,11.90,7.00,-0.40,8.92,
Diluted EPS (Rs.),17.80,11.90,7.00,-0.40,8.92,
Cash EPS (Rs.),23.01,18.58,13.72,5.21,11.36,
Book Value [ExclRevalReserve]/Share (Rs.),101.45,98.76,98.98,102.48,104.36,
Book Value [InclRevalReserve]/Share (Rs.),101.45,98.76,98.98,102.48,104.36,
Dividend / Share(Rs.),16.00,13.50,11.50,10.00,7.50,
Revenue from Operations/Share (Rs.),95.88,84.50,86.74,64.96,53.36,
PBDIT/Share (Rs.),29.85,25.23,28.14,16.11,12.86,
PBIT/Share (Rs.),24.69,18.56,21.47,10.48,10.42,
PBT/Share (Rs.),20.97,14.38,7.26,1.28,8.97,
Net Profit/Share (Rs.),17.85,11.91,7.05,-0.42,8.92,
Profitability Ratios,,,,,,
PBDIT Margin (%),31.13,29.85,32.44,24.80,24.10,
PBIT Margin (%),25.75,21.96,24.75,16.13,19.52,
PBT Margin (%),21.86,17.01,8.36,1.96,16.81,
Net Profit Margin (%),18.61,14.09,8.12,-0.64,16.71,
Return on Networth / Equity (%),17.59,12.06,7.11,-0.40,8.54,
Return on Capital Employed (%),23.57,12.15,15.79,8.20,8.15,
Return on Assets (%),9.89,6.96,4.12,-0.24,5.48,
Total Debt/Equity (X),0.45,0.47,0.32,0.20,0.26,
Asset Turnover Ratio (%),0.55,0.49,0.51,0.39,0.33,
Liquidity Ratios,,,,,,
Current Ratio (X),1.03,3.36,1.97,0.96,1.45,
Quick Ratio (X),0.82,2.59,1.49,0.62,1.07,
Inventory Turnover Ratio (X),1.30,1.20,1.40,1.40,1.31,
Dividend Payout Ratio (NP) (%),0.00,101.39,149.00,-2159.12,72.86,
Dividend Payout Ratio (CP) (%),0.00,64.99,76.53,172.71,57.18,
Earnings Retention Ratio (%),0.00,-1.39,-49.00,2259.12,27.14,
Cash Earnings Retention Ratio (%),0.00,35.01,23.47,-72.71,42.82,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),426430.49,399514.79,243046.57,223821.71,149635.45,
EV/Net Operating Revenue (X),18.54,19.70,11.68,14.36,11.69,
EV/EBITDA (X),59.54,66.00,36.00,57.90,48.49,
MarketCap/Net Operating Revenue (X),18.10,19.18,11.33,14.08,11.20,
Retention Ratios (%),0.00,-1.39,-49.00,2259.12,27.13,
Price/BV (X),17.11,16.41,9.93,8.93,5.73,
Price/Net Operating Revenue,18.10,19.18,11.33,14.08,11.20,
Earnings Yield,0.01,0.01,0.01,0.00,0.01,
