0,1,2,3
Key Financial Ratios of Sun Pharmaceutical Industries (in Rs. Cr.),Mar 05,Mar 04,
Per Share Ratios,,,
Basic EPS (Rs.),16.83,26.56,
Diluted EPS (Rs.),16.83,26.56,
Cash EPS (Rs.),18.74,29.10,
Book Value [ExclRevalReserve]/Share (Rs.),59.51,91.00,
Book Value [InclRevalReserve]/Share (Rs.),59.51,91.00,
Dividend / Share(Rs.),3.75,3.25,
Revenue from Operations/Share (Rs.),54.29,90.99,
PBDIT/Share (Rs.),18.89,34.20,
PBIT/Share (Rs.),17.12,31.66,
PBT/Share (Rs.),17.12,31.66,
Net Profit/Share (Rs.),16.83,26.56,
Profitability Ratios,,,
PBDIT Margin (%),34.79,37.58,
PBIT Margin (%),31.53,34.79,
PBT Margin (%),31.53,34.79,
Net Profit Margin (%),31.00,29.19,
Return on Networth / Equity (%),28.28,29.19,
Return on Capital Employed (%),10.71,25.88,
Return on Assets (%),9.67,17.15,
Total Debt/Equity (X),1.64,0.37,
Asset Turnover Ratio (%),0.43,0.00,
Liquidity Ratios,,,
Current Ratio (X),6.60,1.59,
Quick Ratio (X),5.89,1.06,
Inventory Turnover Ratio (X),1.43,0.00,
Dividend Payout Ratio (NP) (%),22.27,24.46,
Dividend Payout Ratio (CP) (%),20.01,22.33,
Earnings Retention Ratio (%),77.73,75.54,
Cash Earnings Retention Ratio (%),79.99,77.67,
Valuation Ratios,,,
Enterprise Value (Cr.),9671.43,6280.42,
EV/Net Operating Revenue (X),9.60,7.44,
EV/EBITDA (X),27.60,19.80,
MarketCap/Net Operating Revenue (X),8.68,7.14,
Retention Ratios (%),77.72,75.53,
Price/BV (X),7.92,7.14,
Price/Net Operating Revenue,8.68,7.14,
Earnings Yield,0.04,0.04,
