0,1,2,3,4,5,6
Cash Flow of Titan Company (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,321.32,230.56,202.30,131.65,86.88,
Net CashFlow From Operating Activities,341.90,159.61,102.22,126.03,121.79,
Net Cash Used In Investing Activities,-31.64,-57.27,-61.75,-90.63,-34.36,
Net Cash Used From Financing Activities,-177.95,-99.75,-38.60,-23.54,-92.69,
Foreign Exchange Gains / Losses,0.00,0.00,-0.68,0.57,-0.63,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,132.32,2.59,1.18,12.44,-5.89,
Cash And Cash Equivalents Begin of Year,54.83,52.24,50.73,38.29,44.18,
Cash And Cash Equivalents End Of Year,187.15,54.83,51.91,50.73,38.29,
