0,1,2,3,4,5,6
Profit & Loss account of Titan Company (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],4703.12,3926.09,3098.20,2181.69,1509.92,
Less: Excise/Sevice Tax/Other Levies,28.70,44.34,47.35,46.22,41.19,
Revenue From Operations [Net],4674.42,3881.75,3050.85,2135.47,1468.73,
Total Operating Revenues,4674.42,3881.75,3050.85,2135.47,1468.73,
Other Income,8.62,-5.91,-0.18,14.80,0.36,
Total Revenue,4683.04,3875.84,3050.67,2150.28,1469.09,
EXPENSES,,,,,,
Cost Of Materials Consumed,3166.36,2607.40,2195.02,1501.66,918.36,
Purchase Of Stock-In Trade,412.15,349.57,250.68,130.53,73.28,
Operating And Direct Expenses,6.11,8.99,5.96,5.60,3.46,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-111.66,-178.67,-297.89,-246.22,-72.58,
Employee Benefit Expenses,275.64,234.20,193.87,167.50,119.51,
Finance Costs,25.42,29.43,20.14,24.95,29.57,
Depreciation And Amortisation Expenses,60.08,41.76,29.73,25.59,19.66,
Other Expenses,527.62,552.60,461.45,409.00,290.94,
Total Expenses,4361.72,3645.28,2858.96,2018.62,1382.21,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",321.32,230.56,191.71,131.65,86.88,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,321.32,230.56,191.71,131.65,86.88,
Tax Expenses-Continued Operations,,,,,,
Current Tax,81.50,63.00,33.04,36.95,14.89,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,-13.42,-6.53,7.27,-2.86,-5.57,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,68.08,60.68,44.02,37.32,12.34,
Profit/Loss After Tax And Before ExtraOrdinary Items,253.24,169.88,147.70,94.33,74.55,
Profit/Loss From Continuing Operations,250.32,158.96,150.27,94.13,73.62,
Profit/Loss For The Period,250.32,158.96,150.27,94.13,73.62,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),56.39,35.81,33.85,21.20,17.41,
Diluted EPS (Rs.),56.39,35.81,33.85,21.20,17.41,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,2042.37,1136.11,1205.95,431.77,213.57,
Indigenous Raw Materials,1045.07,1384.70,933.29,1022.83,668.47,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,66.58,44.39,35.51,22.19,13.32,
Tax On Dividend,11.06,7.54,6.04,3.83,2.25,
Equity Dividend Rate (%),150.00,100.00,80.00,50.00,30.00,
