0,1,2,3,4,5,6
Quarterly Results of Titan Company (in Rs. Cr.),Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,
Net Sales/Income from operations,4370.10,6105.96,4370.82,4885.38,4630.93,
Other Operating Income,58.65,100.27,64.18,54.28,41.13,
Total Income From Operations,4428.75,6206.23,4435.00,4939.66,4672.06,
EXPENDITURE,,,,,,
Consumption of Raw Materials,2880.71,2724.20,3830.44,3053.70,3441.26,
Purchase of Traded Goods,568.82,782.83,902.37,604.55,518.00,
Increase/Decrease in Stocks,-351.74,1155.71,-1595.01,-44.77,-558.83,
Power & Fuel,--,--,--,--,--,
Employees Cost,244.01,285.05,265.65,245.41,252.23,
depreciat,90.17,77.70,73.70,68.12,33.47,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,75.94,141.24,125.43,134.04,112.52,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,407.36,381.60,392.93,381.44,451.31,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",513.48,657.90,439.49,497.17,422.10,
Other Income,40.09,19.66,30.68,55.98,55.12,
"P/L Before Int., Excpt. Items & Tax",553.57,677.56,470.17,553.15,477.22,
Interest,37.94,40.49,40.75,30.30,12.22,
P/L Before Exceptional Items & Tax,515.63,637.07,429.42,522.85,465.00,
Exceptional Items,--,--,--,--,-70.00,
P/L Before Tax,515.63,637.07,429.42,522.85,395.00,
Tax,158.84,167.12,109.26,152.12,100.42,
P/L After Tax from Ordinary Activities,356.79,469.95,320.16,370.73,294.58,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,356.79,469.95,320.16,370.73,294.58,
Equity Share Capital,88.78,88.78,88.78,88.78,88.78,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,4.01,5.29,3.61,4.18,3.32,
Diluted EPS,4.01,5.29,3.61,4.18,3.32,
EPS After Extra Ordinary,,,,,,
Basic EPS.,4.01,5.29,3.61,4.18,3.32,
Diluted EPS.,4.01,5.29,3.61,4.18,3.32,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
