0,1,2,3,4,5,6
Key Financial Ratios of Titan Company (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
Per Share Ratios,,,,,,
Basic EPS (Rs.),37.60,39.94,37.54,24.56,9.88,
Diluted EPS (Rs.),37.58,39.92,37.54,24.56,9.88,
Cash EPS (Rs.),43.51,44.84,41.54,28.39,13.57,
Book Value [ExclRevalReserve]/Share (Rs.),188.89,162.44,134.76,105.31,84.87,
Book Value [InclRevalReserve]/Share (Rs.),188.89,162.44,134.76,105.31,84.87,
Dividend / Share(Rs.),11.00,11.00,10.00,7.50,4.00,
Revenue from Operations/Share (Rs.),616.20,529.37,430.00,305.73,231.48,
PBDIT/Share (Rs.),65.00,62.18,56.96,39.61,21.15,
PBIT/Share (Rs.),58.97,57.16,52.87,35.71,17.43,
PBT/Share (Rs.),50.35,51.76,50.17,32.94,13.85,
Net Profit/Share (Rs.),37.47,39.82,37.45,24.49,9.85,
Profitability Ratios,,,,,,
PBDIT Margin (%),10.54,11.74,13.24,12.95,9.13,
PBIT Margin (%),9.56,10.79,12.29,11.67,7.52,
PBT Margin (%),8.17,9.77,11.66,10.77,5.98,
Net Profit Margin (%),6.08,7.52,8.70,8.01,4.25,
Return on Networth / Equity (%),19.83,24.51,27.78,23.25,11.61,
Return on Capital Employed (%),27.00,26.08,34.67,30.04,17.89,
Return on Assets (%),8.11,10.78,13.28,10.82,5.52,
Total Debt/Equity (X),0.47,0.74,0.52,0.02,0.54,
Asset Turnover Ratio (%),1.48,1.63,1.69,1.51,129.89,
Liquidity Ratios,,,,,,
Current Ratio (X),1.41,1.70,1.80,1.71,1.74,
Quick Ratio (X),0.27,0.44,0.50,0.38,0.63,
Inventory Turnover Ratio (X),2.12,2.11,1.81,2.02,2.58,
Dividend Payout Ratio (NP) (%),0.00,25.05,19.98,16.28,40.47,
Dividend Payout Ratio (CP) (%),0.00,22.25,18.01,14.04,29.38,
Earnings Retention Ratio (%),0.00,74.95,80.02,83.72,59.53,
Cash Earnings Retention Ratio (%),0.00,77.75,81.99,85.96,70.62,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),278770.92,348564.75,229331.90,224893.35,142190.60,
EV/Net Operating Revenue (X),5.10,7.40,5.99,8.27,6.90,
EV/EBITDA (X),48.31,62.99,45.24,63.80,75.55,
MarketCap/Net Operating Revenue (X),4.97,7.19,5.85,8.30,6.73,
Retention Ratios (%),0.00,74.94,80.01,83.71,59.52,
Price/BV (X),16.22,23.42,18.66,24.08,18.35,
Price/Net Operating Revenue,4.97,7.19,5.85,8.30,6.73,
Earnings Yield,0.01,0.01,0.01,0.01,0.01,
