0,1,2,3,4,5,6
Key Financial Ratios of Titan Company (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
Per Share Ratios,,,,,,
Basic EPS (Rs.),9.27,8.35,8.17,6.76,4.85,
Diluted EPS (Rs.),9.27,8.35,8.17,6.76,4.85,
Cash EPS (Rs.),10.26,9.09,8.78,7.27,104.73,
Book Value [ExclRevalReserve]/Share (Rs.),34.83,28.43,22.13,16.33,231.00,
Book Value [InclRevalReserve]/Share (Rs.),34.83,28.43,22.13,16.33,231.00,
Dividend / Share(Rs.),2.30,2.10,2.10,1.75,25.00,
Revenue from Operations/Share (Rs.),134.08,122.96,113.91,99.56,1469.02,
PBDIT/Share (Rs.),13.79,13.16,12.52,10.44,150.49,
PBIT/Share (Rs.),12.80,12.42,11.90,9.94,142.72,
PBT/Share (Rs.),11.89,11.44,11.33,9.44,134.94,
Net Profit/Share (Rs.),9.27,8.35,8.17,6.76,96.96,
Profitability Ratios,,,,,,
PBDIT Margin (%),10.28,10.70,10.99,10.48,10.24,
PBIT Margin (%),9.54,10.10,10.45,9.98,9.71,
PBT Margin (%),8.87,9.30,9.95,9.48,9.18,
Net Profit Margin (%),6.91,6.78,7.17,6.79,6.60,
Return on Networth / Equity (%),26.61,29.36,36.90,41.39,41.97,
Return on Capital Employed (%),25.88,28.55,35.76,39.36,39.83,
Return on Assets (%),14.01,12.13,12.34,12.77,11.52,
Total Debt/Equity (X),0.03,0.32,0.00,0.00,0.01,
Asset Turnover Ratio (%),202.70,178.74,172.13,188.06,174.56,
Liquidity Ratios,,,,,,
Current Ratio (X),1.80,1.49,1.34,1.31,1.24,
Quick Ratio (X),0.29,0.39,0.39,0.40,0.49,
Inventory Turnover Ratio (X),2.94,2.82,2.75,3.07,3.27,
Dividend Payout Ratio (NP) (%),24.80,25.15,25.70,25.88,25.78,
Dividend Payout Ratio (CP) (%),22.42,23.10,23.91,24.08,23.87,
Earnings Retention Ratio (%),75.20,74.85,74.30,74.12,74.22,
Cash Earnings Retention Ratio (%),77.58,76.90,76.09,75.92,76.13,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),34691.35,23217.29,21635.17,19340.15,15829.05,
EV/Net Operating Revenue (X),2.91,2.13,2.14,2.19,2.43,
EV/EBITDA (X),28.34,19.87,19.47,20.86,23.70,
MarketCap/Net Operating Revenue (X),2.92,2.13,2.25,2.30,2.59,
Retention Ratios (%),75.19,74.84,74.29,74.11,74.21,
Price/BV (X),11.26,9.23,11.59,14.00,16.50,
Price/Net Operating Revenue,2.92,2.13,2.25,2.30,2.59,
Earnings Yield,0.02,0.03,0.03,0.03,0.03,
