0,1,2,3,4,5,6
Cash Flow of UltraTech Cement (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
,12 mths,12 mths,12 mths,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,5219.76,3492.38,3301.84,3775.95,3298.56,
Net CashFlow From Operating Activities,8275.94,6116.32,3617.68,4722.87,4354.40,
Net Cash Used In Investing Activities,-3968.01,-4000.34,1891.89,-2365.12,-3756.70,
Net Cash Used From Financing Activities,-4591.35,-1768.80,-5496.54,-2382.64,-582.42,
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,12.39,0.00,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,-283.42,359.57,13.03,-24.89,15.28,
Cash And Cash Equivalents Begin of Year,423.48,63.91,50.88,75.77,60.49,
Cash And Cash Equivalents End Of Year,140.06,423.48,63.91,50.88,75.77,
