0,1,2,3
Cash Flow of UltraTech Cement (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,43.24,49.20,
Net CashFlow From Operating Activities,337.42,381.35,
Net Cash Used In Investing Activities,-87.18,-163.04,
Net Cash Used From Financing Activities,-235.81,-176.60,
Foreign Exchange Gains / Losses,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,14.43,41.80,
Cash And Cash Equivalents Begin of Year,41.83,0.03,
Cash And Cash Equivalents End Of Year,56.26,41.83,
