0,1,2,3,4,5,6
Profit & Loss account of UltraTech Cement (in Rs. Cr.),Mar 10,Mar 09,Mar 08,Mar 07,Mar 06,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],7729.13,7160.42,6286.24,5484.35,3785.29,
Less: Excise/Sevice Tax/Other Levies,686.31,774.92,773.81,575.30,485.84,
Revenue From Operations [Net],7042.82,6385.50,5512.43,4909.05,3299.45,
Total Operating Revenues,7042.82,6385.50,5512.43,4909.05,3299.45,
Other Income,122.71,75.35,98.67,61.41,24.59,
Total Revenue,7165.53,6460.85,5611.10,4970.46,3324.04,
EXPENSES,,,,,,
Cost Of Materials Consumed,2960.20,2973.79,2271.92,1827.19,1417.63,
Purchase Of Stock-In Trade,63.74,19.50,13.68,182.43,265.32,
Operating And Direct Expenses,97.42,92.58,61.52,56.22,48.19,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-4.59,-86.34,-23.42,30.76,-39.12,
Employee Benefit Expenses,250.28,216.76,171.55,117.22,92.26,
Finance Costs,112.98,119.22,75.67,86.83,89.64,
Depreciation And Amortisation Expenses,388.08,323.00,237.23,226.25,216.03,
Other Expenses,1709.26,1440.88,1295.94,1277.37,960.91,
Total Expenses,5577.37,5099.39,4104.09,3804.27,3050.86,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1588.16,1361.46,1507.01,1166.19,273.18,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,1588.16,1361.46,1507.01,1166.19,273.18,
Tax Expenses-Continued Operations,,,,,,
Current Tax,386.75,197.08,510.24,395.89,56.93,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,107.80,180.58,-16.71,-16.70,-4.75,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,495.05,384.44,499.40,383.91,55.83,
Profit/Loss After Tax And Before ExtraOrdinary Items,1093.11,977.02,1007.61,782.28,217.35,
Profit/Loss From Continuing Operations,1093.24,977.02,1007.61,782.28,229.76,
Profit/Loss For The Period,1093.24,977.02,1007.61,782.28,229.76,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),87.82,78.48,80.94,62.84,18.47,
Diluted EPS (Rs.),87.82,78.48,80.94,62.84,18.47,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,28.95,4.97,8.26,9.57,0.69,
Indigenous Raw Materials,931.66,679.99,528.51,383.42,281.56,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,43.71,62.85,38.10,29.06,29.19,
Indigenous Stores And Spares,439.71,427.83,362.06,327.39,248.90,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,74.69,62.24,62.24,49.79,21.79,
Tax On Dividend,12.41,10.58,10.58,6.98,3.06,
Equity Dividend Rate (%),60.00,50.00,50.00,40.00,18.00,
