0,1,2,3,4,5,6
Quarterly Results of UltraTech Cement (in Rs. Cr.),Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,
Net Sales/Income from operations,6402.27,5651.98,6277.42,5947.59,6135.45,
Other Operating Income,--,78.54,60.77,59.27,77.85,
Total Income From Operations,6402.27,5730.52,6338.19,6006.86,6213.30,
EXPENDITURE,,,,,,
Consumption of Raw Materials,957.73,865.69,866.77,860.69,857.14,
Purchase of Traded Goods,123.79,109.20,104.89,101.80,109.37,
Increase/Decrease in Stocks,44.62,-57.54,-68.38,82.16,-0.05,
Power & Fuel,1016.45,1068.16,1058.92,1097.28,1184.68,
Employees Cost,337.89,349.86,341.58,313.69,326.75,
depreciat,351.45,325.88,335.22,285.15,287.94,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,2544.81,2280.04,3052.45,2398.03,2425.24,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1025.53,789.23,646.74,868.06,1022.23,
Other Income,140.18,89.07,133.68,117.73,51.73,
"P/L Before Int., Excpt. Items & Tax",1165.71,878.30,780.42,985.79,1073.96,
Interest,112.59,127.26,131.88,139.93,149.90,
P/L Before Exceptional Items & Tax,1053.12,751.04,648.54,845.86,924.06,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,1053.12,751.04,648.54,845.86,924.06,
Tax,272.34,223.07,191.13,241.86,309.32,
P/L After Tax from Ordinary Activities,780.78,527.97,457.41,604.00,614.74,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,780.78,527.97,457.41,604.00,614.74,
Equity Share Capital,274.43,274.42,274.41,274.41,274.40,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,28.45,19.24,16.67,22.01,22.41,
Diluted EPS,28.44,19.23,16.66,22.00,22.39,
EPS After Extra Ordinary,,,,,,
Basic EPS.,28.45,19.24,16.67,22.01,22.41,
Diluted EPS.,28.44,19.23,16.66,22.00,22.39,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,10.03,10.03,
Share Holding (%),--,--,--,36.56,36.56,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,16.93,16.93,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,100.00,100.00,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,61.69,61.69,
