0,1,2,3,4,5,6
Key Financial Ratios of UltraTech Cement (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
Per Share Ratios,,,,,,
Basic EPS (Rs.),73.44,78.21,96.87,89.26,62.74,
Diluted EPS (Rs.),73.39,78.18,96.85,89.22,62.72,
Cash EPS (Rs.),114.72,116.57,131.33,122.19,79.18,
Book Value [ExclRevalReserve]/Share (Rs.),687.23,623.45,555.65,469.22,389.21,
Book Value [InclRevalReserve]/Share (Rs.),687.23,623.45,555.65,469.22,389.21,
Dividend / Share(Rs.),9.00,9.00,9.00,8.00,6.00,
Revenue from Operations/Share (Rs.),835.87,739.49,736.01,668.19,485.79,
PBDIT/Share (Rs.),166.43,151.22,181.65,164.90,102.96,
PBIT/Share (Rs.),125.13,112.85,147.17,131.96,75.02,
PBT/Share (Rs.),105.18,101.21,139.52,123.80,65.07,
Net Profit/Share (Rs.),73.42,78.20,96.85,89.25,51.24,
Profitability Ratios,,,,,,
PBDIT Margin (%),19.91,20.44,24.68,24.67,21.19,
PBIT Margin (%),14.97,15.25,19.99,19.74,15.44,
PBT Margin (%),12.58,13.68,18.95,18.52,13.39,
Net Profit Margin (%),8.78,10.57,13.15,13.35,10.54,
Return on Networth / Equity (%),10.68,12.54,17.43,19.02,13.16,
Return on Capital Employed (%),7.62,8.92,12.54,13.31,9.47,
Return on Assets (%),5.72,7.20,9.68,10.66,7.02,
Total Debt/Equity (X),0.35,0.28,0.29,0.30,0.25,
Asset Turnover Ratio (%),65.13,68.15,73.62,79.81,66.58,
Liquidity Ratios,,,,,,
Current Ratio (X),0.90,1.57,1.25,1.49,1.37,
Quick Ratio (X),0.59,1.16,0.88,1.04,0.99,
Inventory Turnover Ratio (X),8.34,8.56,8.59,8.99,6.80,
Dividend Payout Ratio (NP) (%),12.26,11.50,9.29,8.96,11.70,
Dividend Payout Ratio (CP) (%),7.84,7.72,6.85,6.54,7.57,
Earnings Retention Ratio (%),87.74,88.50,90.71,91.04,88.30,
Cash Earnings Retention Ratio (%),92.16,92.28,93.15,93.46,92.43,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),85187.89,64623.67,55536.84,44920.92,33560.93,
EV/Net Operating Revenue (X),3.71,3.19,2.75,2.45,2.52,
EV/EBITDA (X),18.65,15.58,11.15,9.94,11.89,
MarketCap/Net Operating Revenue (X),3.44,2.96,2.54,2.26,2.33,
Retention Ratios (%),87.73,88.49,90.70,91.03,88.29,
Price/BV (X),4.18,3.51,3.36,3.21,2.91,
Price/Net Operating Revenue,3.44,2.96,2.54,2.26,2.33,
Earnings Yield,0.03,0.04,0.05,0.06,0.05,
