0,1,2,3
Key Financial Ratios of UltraTech Cement (in Rs. Cr.),Mar 05,Mar 04,
Per Share Ratios,,,
Basic EPS (Rs.),0.23,3.12,
Diluted EPS (Rs.),0.23,3.12,
Cash EPS (Rs.),18.06,20.36,
Book Value [ExclRevalReserve]/Share (Rs.),85.78,86.41,
Book Value [InclRevalReserve]/Share (Rs.),85.78,86.41,
Dividend / Share(Rs.),0.75,0.50,
Revenue from Operations/Share (Rs.),215.52,182.00,
PBDIT/Share (Rs.),23.67,28.72,
PBIT/Share (Rs.),5.85,12.73,
PBT/Share (Rs.),-2.75,3.49,
Net Profit/Share (Rs.),0.23,3.12,
Profitability Ratios,,,
PBDIT Margin (%),10.98,15.78,
PBIT Margin (%),2.71,6.99,
PBT Margin (%),-1.27,1.91,
Net Profit Margin (%),0.10,1.71,
Return on Networth / Equity (%),0.26,3.61,
Return on Capital Employed (%),0.09,1.22,
Return on Assets (%),0.07,1.03,
Total Debt/Equity (X),1.44,1.45,
Asset Turnover Ratio (%),73.80,60.36,
Liquidity Ratios,,,
Current Ratio (X),1.44,1.27,
Quick Ratio (X),0.95,0.89,
Inventory Turnover Ratio (X),9.45,10.15,
Dividend Payout Ratio (NP) (%),327.36,16.01,
Dividend Payout Ratio (CP) (%),4.15,2.45,
Earnings Retention Ratio (%),-227.36,83.99,
Cash Earnings Retention Ratio (%),95.85,97.55,
Valuation Ratios,,,
Enterprise Value (Cr.),5885.72,0.00,
EV/Net Operating Revenue (X),2.20,0.00,
EV/EBITDA (X),19.98,0.00,
MarketCap/Net Operating Revenue (X),1.65,0.00,
Retention Ratios (%),-227.36,83.98,
Price/BV (X),4.13,0.00,
Price/Net Operating Revenue,1.65,0.00,
Earnings Yield,0.00,0.00,
