0,1,2,3
Cash Flow of Wipro (in Rs. Cr.),Mar 05,Mar 04,
,12 mths,12 mths,
Net Profit/Loss Before Extraordinary Items And Tax,1757.02,1082.27,
Net CashFlow From Operating Activities,1666.42,913.91,
Net Cash Used In Investing Activities,-874.58,-1062.09,
Net Cash Used From Financing Activities,-550.61,28.57,
Foreign Exchange Gains / Losses,0.00,0.00,
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,
Net Inc/Dec In Cash And Cash Equivalents,246.80,-119.61,
Cash And Cash Equivalents Begin of Year,290.09,409.70,
Cash And Cash Equivalents End Of Year,536.90,290.09,
