0,1,2,3,4,5,6
Profit & Loss account of Wipro (in Rs. Cr.),Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],67292.80,66792.40,67753.40,59574.40,50299.40,
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
Revenue From Operations [Net],67292.80,66792.40,67753.40,59574.40,50299.40,
Total Operating Revenues,67292.80,66792.40,67753.40,59574.40,50299.40,
Other Income,3859.80,3045.80,2354.20,4706.10,2382.90,
Total Revenue,71152.60,69838.20,70107.60,64280.50,52682.30,
EXPENSES,,,,,,
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
Purchase Of Stock-In Trade,210.60,264.20,378.20,488.80,587.90,
Operating And Direct Expenses,0.00,13148.50,13918.90,14109.60,10675.40,
"Changes In Inventories Of FG,WIP And Stock-In Trade",9.00,17.90,-3.50,-6.40,34.50,
Employee Benefit Expenses,37335.50,38289.50,37201.60,31542.40,26467.30,
Finance Costs,981.30,819.70,628.90,367.40,402.60,
Depreciation And Amortisation Expenses,1446.60,1491.80,1592.10,1485.70,1349.30,
Other Expenses,16739.40,3389.10,4122.50,1028.80,480.50,
Total Expenses,56722.40,57420.70,57838.70,49016.30,39997.50,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",14430.20,12417.50,12268.90,15264.20,12684.80,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,14430.20,12417.50,12268.90,15264.20,12684.80,
Tax Expenses-Continued Operations,,,,,,
Current Tax,3637.80,3148.50,2740.50,3194.10,2243.00,
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
Deferred Tax,0.00,150.40,351.70,-65.20,380.90,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,3637.80,3298.90,3092.20,3128.90,2623.90,
Profit/Loss After Tax And Before ExtraOrdinary Items,10792.40,9118.60,9176.70,12135.30,10060.90,
Profit/Loss From Continuing Operations,10792.40,9118.60,9176.70,12135.30,10060.90,
Profit/Loss For The Period,10792.40,9118.60,9176.70,12135.30,10060.90,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),10.32,17.24,16.75,22.20,17.81,
Diluted EPS (Rs.),10.29,17.19,16.75,22.14,17.77,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,0.00,522.40,548.70,3289.10,547.80,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Equity Dividend Rate (%),300.00,50.00,50.00,300.00,50.00,
