0,1,2,3,4,5,6
Quarterly Results of Wipro (in Rs. Cr.),Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,
Net Sales/Income from operations,13127.20,12695.90,12522.60,12042.00,12321.30,
Other Operating Income,--,--,--,19.30,74.50,
Total Income From Operations,13127.20,12695.90,12522.60,12061.30,12395.80,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,244.20,184.70,116.70,252.70,311.90,
Increase/Decrease in Stocks,10.50,17.40,148.70,-16.70,-20.40,
Power & Fuel,--,--,--,--,--,
Employees Cost,6811.40,6559.30,6548.00,6253.10,6159.90,
depreciat,309.00,293.70,263.80,274.60,221.80,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,3434.30,3194.40,3133.20,3307.70,4077.50,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",2317.80,2446.40,2312.20,1989.90,1645.10,
Other Income,563.70,521.20,634.10,757.60,742.40,
"P/L Before Int., Excpt. Items & Tax",2881.50,2967.60,2946.30,2747.50,2387.50,
Interest,118.80,134.90,177.90,103.60,204.70,
P/L Before Exceptional Items & Tax,2762.70,2832.70,2768.40,2643.90,2182.80,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,2762.70,2832.70,2768.40,2643.90,2182.80,
Tax,604.40,571.40,521.40,629.80,616.80,
P/L After Tax from Ordinary Activities,2158.30,2261.30,2247.00,2014.10,1566.00,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,2158.30,2261.30,2247.00,2014.10,1566.00,
Equity Share Capital,1142.70,1142.60,1142.60,1207.10,1206.80,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,3.79,3.95,3.79,3.35,2.61,
Diluted EPS,3.77,3.95,3.78,3.34,2.60,
EPS After Extra Ordinary,,,,,,
Basic EPS.,3.79,3.95,3.79,3.35,2.61,
Diluted EPS.,3.77,3.95,3.78,3.34,2.60,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
