0,1,2,3,4,5,6
Key Financial Ratios of Wipro (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
Per Share Ratios,,,,,,
Basic EPS (Rs.),14.88,12.67,16.26,33.61,33.38,
Diluted EPS (Rs.),14.84,12.67,16.23,33.51,33.31,
Cash EPS (Rs.),17.19,14.17,19.31,37.89,36.74,
Book Value [ExclRevalReserve]/Share (Rs.),81.31,81.86,93.42,192.16,166.87,
Book Value [InclRevalReserve]/Share (Rs.),81.31,81.86,93.42,192.16,166.87,
Dividend / Share(Rs.),1.00,1.00,1.00,2.00,6.00,
Revenue from Operations/Share (Rs.),88.22,79.75,98.83,189.46,180.86,
PBDIT/Share (Rs.),22.20,18.78,25.27,50.21,48.65,
PBIT/Share (Rs.),20.20,17.23,23.03,45.90,45.11,
PBT/Share (Rs.),19.27,16.36,22.18,43.97,42.88,
Net Profit/Share (Rs.),15.19,12.62,17.07,33.58,33.19,
Profitability Ratios,,,,,,
PBDIT Margin (%),25.16,23.54,25.57,26.50,26.90,
PBIT Margin (%),22.89,21.60,23.30,24.22,24.94,
PBT Margin (%),21.83,20.51,22.44,23.20,23.71,
Net Profit Margin (%),17.22,15.82,17.27,17.72,18.35,
Return on Networth / Equity (%),18.68,15.41,18.27,17.47,19.89,
Return on Capital Employed (%),23.62,20.44,23.87,22.61,18.75,
Return on Assets (%),13.29,11.36,13.16,12.92,13.91,
Total Debt/Equity (X),0.11,0.10,0.11,0.13,0.16,
Asset Turnover Ratio (%),77.18,71.82,76.20,72.91,75.82,
Liquidity Ratios,,,,,,
Current Ratio (X),2.78,2.96,2.86,3.52,2.98,
Quick Ratio (X),2.77,2.94,2.84,3.50,2.94,
Inventory Turnover Ratio (X),289.53,141.42,151.92,129.38,84.91,
Dividend Payout Ratio (NP) (%),7.93,7.16,7.05,10.75,43.49,
Dividend Payout Ratio (CP) (%),7.01,6.38,6.23,9.52,39.30,
Earnings Retention Ratio (%),92.07,92.84,92.95,89.25,56.51,
Cash Earnings Retention Ratio (%),92.99,93.62,93.77,90.48,60.70,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),106910.41,148400.15,129726.08,127904.12,137462.82,
EV/Net Operating Revenue (X),2.12,3.08,2.90,2.78,3.08,
EV/EBITDA (X),8.43,13.10,11.35,10.48,11.44,
MarketCap/Net Operating Revenue (X),2.23,3.19,2.85,2.72,3.11,
Retention Ratios (%),92.06,92.83,92.94,89.24,56.50,
Price/BV (X),2.42,3.11,3.01,2.68,3.38,
Price/Net Operating Revenue,2.23,3.19,2.85,2.72,3.11,
Earnings Yield,0.08,0.05,0.06,0.07,0.06,
