0,1,2,3
Key Financial Ratios of Wipro (in Rs. Cr.),Mar 05,Mar 04,
Per Share Ratios,,,
Basic EPS (Rs.),21.25,39.31,
Diluted EPS (Rs.),21.25,39.31,
Cash EPS (Rs.),23.89,45.82,
Book Value [ExclRevalReserve]/Share (Rs.),69.54,150.70,
Book Value [InclRevalReserve]/Share (Rs.),69.54,150.70,
Dividend / Share(Rs.),5.00,29.00,
Revenue from Operations/Share (Rs.),102.81,220.61,
PBDIT/Share (Rs.),27.70,53.03,
PBIT/Share (Rs.),25.05,46.52,
PBT/Share (Rs.),24.97,46.37,
Net Profit/Share (Rs.),21.25,39.31,
Profitability Ratios,,,
PBDIT Margin (%),26.93,24.03,
PBIT Margin (%),24.36,21.08,
PBT Margin (%),24.29,21.01,
Net Profit Margin (%),20.66,17.81,
Return on Networth / Equity (%),30.55,26.08,
Return on Capital Employed (%),30.49,26.03,
Return on Assets (%),22.34,17.29,
Total Debt/Equity (X),0.01,0.03,
Asset Turnover Ratio (%),108.10,97.08,
Liquidity Ratios,,,
Current Ratio (X),1.48,1.13,
Quick Ratio (X),1.40,1.07,
Inventory Turnover Ratio (X),56.79,50.30,
Dividend Payout Ratio (NP) (%),23.53,73.78,
Dividend Payout Ratio (CP) (%),20.92,63.29,
Earnings Retention Ratio (%),76.47,26.22,
Cash Earnings Retention Ratio (%),79.08,36.71,
Valuation Ratios,,,
Enterprise Value (Cr.),46741.78,31450.76,
EV/Net Operating Revenue (X),6.46,6.12,
EV/EBITDA (X),23.99,25.48,
MarketCap/Net Operating Revenue (X),6.53,6.16,
Retention Ratios (%),76.46,26.21,
Price/BV (X),9.65,9.02,
Price/Net Operating Revenue,6.53,6.16,
Earnings Yield,0.03,0.03,
